Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
27	['DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0]	28	27	1	O agronegócio brasileiro bateu recordes de exportação .
Redes	NOUN	1	29	0	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
neurais	ADJ	1	29	1	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
são	AUX	0	29	2	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
usadas	VERB	0	29	3	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
em	ADP	0	29	4	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
sistemas	NOUN	0	29	5	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
de	ADP	0	29	6	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
reconhecimento	NOUN	0	29	7	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
de	ADP	0	29	8	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
imagem	NOUN	0	29	9	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
.	PUNCT	0	29	10	0	Redes neurais são usadas em sistemas de reconhecimento de imagem .
28	['NOUN', 'ADJ', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	29	28	1	Redes neurais são usadas em sistemas de reconhecimento de imagem .
O	DET	0	30	0	0	O futebol brasileiro possui grande destaque internacional .
futebol	NOUN	0	30	1	0	O futebol brasileiro possui grande destaque internacional .
brasileiro	ADJ	0	30	2	0	O futebol brasileiro possui grande destaque internacional .
possui	VERB	0	30	3	0	O futebol brasileiro possui grande destaque internacional .
grande	ADJ	0	30	4	0	O futebol brasileiro possui grande destaque internacional .
destaque	NOUN	0	30	5	0	O futebol brasileiro possui grande destaque internacional .
internacional	ADJ	0	30	6	0	O futebol brasileiro possui grande destaque internacional .
.	PUNCT	0	30	7	0	O futebol brasileiro possui grande destaque internacional .
29	['DET', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	30	29	1	O futebol brasileiro possui grande destaque internacional .
